documentId,title,format,tags,expectedRows,extractedRows,classificationCorrect,processingMode,verdict,falsePositives,missedRows,unsafeAcceptedErrors,wrongAssociations,fieldMismatches
pilot-01,Single glucose / hexokinase,Native,"[""Native""]",1,1,True,NATIVE,PASS,0,0,0,0,0
pilot-02,Single scanned glucose,Scanned,"[""Scanned""]",1,1,True,OCR,PASS,0,0,0,0,0
pilot-03,CBC three-column table,Native,"[""Native"", ""Multi-column""]",12,12,True,NATIVE,PASS,0,0,0,0,0
pilot-04,Scanned CBC three-column table,Scanned,"[""Scanned"", ""Multi-column""]",12,12,True,OCR,REVIEW,0,0,0,0,8
pilot-05,Biochemistry continuation,Native,"[""Native"", ""Multi-page""]",18,18,True,NATIVE,REVIEW,0,0,0,0,2
pilot-06,Hybrid biochemistry continuation,Hybrid,"[""Hybrid"", ""Multi-page""]",18,18,True,HYBRID,REVIEW,0,0,0,0,4
pilot-07,Scanned biochemistry,Scanned,"[""Scanned"", ""Multi-page""]",16,16,True,OCR,FAIL,0,0,0,1,6
pilot-08,Multi-section metabolic and coagulation,Native,"[""Native"", ""Multi-page""]",19,19,True,NATIVE,PASS,0,0,0,0,0
pilot-09,Wrapped names and ranges,Native,"[""Native"", ""Multi-page""]",20,20,True,NATIVE,PASS,0,0,0,0,0
pilot-10,Scanned wrapped rows,Scanned,"[""Scanned"", ""Multi-page""]",16,16,True,OCR,REVIEW,0,0,0,0,4
pilot-11,Parallel biochemical panels,Native,"[""Native"", ""Multi-column""]",16,16,True,NATIVE,REVIEW,0,0,0,0,2
pilot-12,Parallel hematology and lipid panels,Scanned,"[""Scanned"", ""Multi-column""]",16,16,True,OCR,REVIEW,0,0,0,0,6
pilot-13,Female printed intervals,Native,"[""Native""]",16,16,True,NATIVE,PASS,0,0,0,0,0
pilot-14,Male printed intervals,Scanned,"[""Scanned""]",16,16,True,OCR,REVIEW,0,0,0,0,2
pilot-15,Sex unknown printed intervals,Native,"[""Native""]",16,16,True,NATIVE,REVIEW,0,0,0,0,0
pilot-16,Conflicting sex metadata,Native,"[""Native""]",16,16,True,NATIVE,REVIEW,0,0,0,0,0
pilot-17,Child printed age intervals,Native,"[""Native""]",16,16,True,NATIVE,PASS,0,0,0,0,0
pilot-18,Infant printed month intervals,Hybrid,"[""Hybrid"", ""Multi-page""]",16,16,True,HYBRID,REVIEW,0,0,0,0,2
pilot-19,Age unknown printed intervals,Native,"[""Native""]",16,16,True,NATIVE,REVIEW,0,0,0,0,0
pilot-20,Qualitative urine and serology,Native,"[""Native""]",11,11,True,NATIVE,PASS,0,0,0,0,0
pilot-21,Scanned qualitative values,Scanned,"[""Scanned""]",11,11,True,OCR,PASS,0,0,0,0,0
pilot-22,Endocrine and nutrition,Native,"[""Native"", ""Multi-column""]",14,14,True,NATIVE,PASS,0,0,0,0,0
pilot-23,Hybrid endocrine and nutrition,Hybrid,"[""Hybrid"", ""Multi-page""]",14,14,True,HYBRID,PASS,0,0,0,0,0
pilot-24,Missing fields retained for review,Native,"[""Native""]",14,14,True,NATIVE,REVIEW,0,0,0,0,0
pilot-25,Comments and close distinct rows,Native,"[""Native""]",17,17,True,NATIVE,PASS,0,0,0,0,0
pilot-26,Repeated concepts with methods,Native,"[""Native"", ""Multi-page""]",15,15,True,NATIVE,PASS,0,0,0,0,0
pilot-27,Faint scanned decimals,Scanned,"[""Scanned"", ""Low-quality OCR""]",14,14,True,OCR,FAIL,0,0,0,1,25
pilot-28,Low resolution scan and character corruption,Scanned,"[""Scanned"", ""Multi-page"", ""Low-quality OCR""]",24,24,True,OCR,FAIL,0,0,0,2,10
pilot-29,Hybrid flags and unusual printed values,Hybrid,"[""Hybrid"", ""Multi-page""]",14,14,True,HYBRID,REVIEW,0,0,0,0,4
pilot-30,Scanned multipanel continuation,Scanned,"[""Scanned"", ""Multi-page""]",17,17,True,OCR,FAIL,0,0,0,1,17
pilot-31,Decimal loss triplet and absent qualitative control,Scanned,"[""Scanned"", ""Low-quality OCR""]",4,4,True,OCR,FAIL,0,0,0,1,34
